"","Sample_ID","WW_site_name","WW_site_shrtnm","Lineages","Lineage_abundance","Compress_lineages","Parent_lineage","Parent_lineage_grp","Category","PCR_date","Collection_date","Population"
"1","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"2","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.1",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"3","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.11",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"4","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.12",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"5","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.18",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"6","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"7","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2.2",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"8","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2.3",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"9","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2.4",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"10","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2.5",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"11","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2.5.1",0.00111732,"A.2.5","A","A","Other","2021-11-22",2021-11-19,9095
"12","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2.5.2",0.00111732,"A.2.5","A","A","Other","2021-11-22",2021-11-19,9095
"13","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.2.5.3",0.00111732,"A.2.5","A","A","Other","2021-11-22",2021-11-19,9095
"14","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.21",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"15","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.23",0.00111732,"A.23","A","A","Other","2021-11-22",2021-11-19,9095
"16","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.23.1",0.00111732,"A.23","A","A","Other","2021-11-22",2021-11-19,9095
"17","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.24",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"18","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.25",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"19","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.4",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"20","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.5",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"21","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.6",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"22","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","A.7",0.00111732,"A","A","A","Other","2021-11-22",2021-11-19,9095
"23","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AC.1",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"24","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AD.2",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"25","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AE.1",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"26","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AE.4",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"27","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AE.7",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"28","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AF.1",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"29","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AH.2",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"30","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AH.3",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
"31","211122_HCWWTP21","(HCWWTP) Hyrum City WWTP","HCWWTP21","AK.1",0.00111732,"B.1.1*","B.1.1","B.1.1*","Other","2021-11-22",2021-11-19,9095
